geometry,X,Y,School_Type,School_Name,Postal_Town
,145.25824,-38.00176,Primary,Hallam Primary School,HALLAM
,144.93392,-37.78067,Primary,Flemington Primary School,FLEMINGTON
,144.89267,-37.79838,Primary,Footscray Primary School,WEST FOOTSCRAY
,144.58844,-37.49086,Primary,Gisborne Primary School,GISBORNE
,145.00947,-37.94704,Primary,Sandringham Primary School,SANDRINGHAM
,146.98292,-36.76886,Primary,Wandiligong Primary School,BRIGHT
,144.34776,-38.19764,Primary,Grovedale Primary School,GROVEDALE
,145.01838,-37.82011,Primary,Hawthorn West Primary School,HAWTHORN
,145.0678,-37.7547,Primary,Heidelberg Primary School,HEIDELBERG
,142.02138,-37.74491,Primary,Hamilton (Gray Street) Primary School,HAMILTON
,144.70685,-36.92401,Primary,Heathcote Primary School,HEATHCOTE
,144.31708,-38.17216,Primary,Highton Primary School,HIGHTON
,144.3344,-36.66254,Primary,Huntly Primary School,HUNTLY
,144.263,-38.33364,Primary,Bellbrae Primary School,BELLBRAE
,146.6066,-36.14707,Primary,Chiltern Primary School,CHILTERN
,144.46269,-37.24889,Primary,Kyneton Primary School,KYNETON
,144.74538,-37.35418,Primary,Romsey Primary School,ROMSEY
,143.98214,-38.01399,Primary,Shelford Primary School,SHELFORD
,144.15675,-36.8416,Primary,Lockwood South Primary School,LOCKWOOD SOUTH
,144.13537,-36.73568,Primary,Marong Primary School,MARONG
,144.58413,-37.40479,Primary,Mount Macedon Primary School,MOUNT MACEDON
,143.86837,-37.60474,Primary,Mount Clear Primary School,MOUNT CLEAR
,144.58702,-37.68046,Primary,Melton Primary School,MELTON
,144.98151,-37.7996,Primary,Fitzroy Primary School,FITZROY
,144.06719,-37.10592,Primary,Newstead Primary School,NEWSTEAD
,143.98443,-37.41202,Primary,Newlyn Primary School,NEWLYN
,145.15181,-37.85973,Primary,Burwood East Primary School,GLEN WAVERLEY
,144.59658,-37.46289,Primary,New Gisborne Primary School,NEW GISBORNE
,143.64428,-38.19397,Primary,Beeac Primary School,BEEAC
,144.92104,-37.7531,Primary,Essendon Primary School,ESSENDON
,144.96821,-37.7413,Primary,Coburg Primary School,COBURG
,142.29133,-37.87918,Primary,Penshurst Primary School,PENSHURST
,144.34632,-37.61972,Primary,Myrniong Primary School,MYRNIONG
,145.09224,-37.5946,Primary,Mernda Primary School,MERNDA
,141.59941,-38.3473,Primary,Portland Primary School,PORTLAND
,142.77378,-37.05613,Primary,Stawell Primary School,STAWELL
,146.46061,-36.05621,Primary,Rutherglen Primary School,RUTHERGLEN
,144.67978,-37.46122,Primary,Riddells Creek Primary School,RIDDELLS CREEK
,143.72281,-37.90366,Primary,Rokewood Primary School,ROKEWOOD
,144.38277,-38.17551,Primary,Geelong East Primary School,GEELONG EAST
,147.07364,-38.1083,Primary,Sale Primary School,SALE
,143.36816,-37.68686,Primary,Skipton Primary School,SKIPTON
,144.98562,-37.84135,Primary,South Yarra Primary School,SOUTH YARRA
,147.08539,-37.96725,Primary,Stratford Primary School,STRATFORD
,144.35106,-37.14131,Primary,Taradale Primary School,TARADALE
,142.3687,-38.29244,Primary,Koroit And District Primary School,KOROIT
,144.40878,-37.32497,Primary,Tylden Primary School,TYLDEN
,145.0115,-37.68227,Primary,Thomastown Primary School,THOMASTOWN
,146.32942,-36.35528,Primary,Wangaratta Primary School,WANGARATTA
,146.39792,-36.01365,Primary,Wahgunyah Primary School,WAHGUNYAH
,144.53294,-37.35342,Primary,Woodend Primary School,WOODEND
,142.4845,-38.31681,Primary,Woodford Primary School,WOODFORD
,144.65874,-37.90687,Primary,Werribee Primary School,WERRIBEE
,144.20749,-37.07016,Primary,Winters Flat Primary School,CASTLEMAINE
,146.73088,-36.29048,Primary,Wooragee Primary School,Beechworth
,144.97504,-37.41146,Primary,Wallan Primary School,WALLAN
,142.43176,-38.18741,Primary,Woolsthorpe Primary School,WOOLSTHORPE
,144.08844,-37.214,Primary,Yandoit Primary School,Yandoit
,146.67532,-38.55853,Primary,Yarram Primary School,YARRAM
,143.8385,-37.55633,Primary,Pleasant Street Primary School (Ballarat),LAKE WENDOUREE
,145.4283,-37.21273,Primary,Yea Primary School,YEA
,144.72642,-37.27495,Primary,Lancefield Primary School,LANCEFIELD
,144.47831,-37.61379,Primary,Coimadai Primary School,COIMADAI
,143.78651,-38.34046,Primary,Birregurra Primary School,BIRREGURRA
,145.12267,-37.91194,Primary,Clayton North Primary School,CLAYTON
,146.43248,-36.44454,Primary,Milawa Primary School,MILAWA
,144.16156,-36.80258,Primary,Lockwood Primary School,LOCKWOOD
,143.5519,-36.78994,Primary,Bealiba Primary School,BEALIBA
,147.62323,-37.82742,Primary,Bairnsdale Primary School,BAIRNSDALE
,144.10505,-37.58385,Primary,Gordon Primary School,GORDON
,144.13276,-37.30972,Primary,Hepburn Primary School,HEPBURN
,144.39564,-38.0304,Primary,Lara Lake Primary School,LARA LAKE
,146.7739,-38.1546,Primary,Rosedale Primary School,ROSEDALE
,146.96093,-36.7331,Pri/Sec,Bright P-12 College,BRIGHT
,144.698,-36.3546,Primary,Rochester Primary School,ROCHESTER
,142.93731,-37.28594,Primary,Ararat Primary School,ARARAT
,146.14,-37.30126,Primary,Jamieson Primary School,JAMIESON
,145.00745,-37.74787,Primary,Preston South Primary School,PRESTON
,147.59308,-37.10022,Primary,Omeo Primary School,OMEO
,147.06494,-36.88771,Primary,Harrietville Primary School,HARRIETVILLE
,145.08881,-38.00558,Primary,Mordialloc Beach Primary School,Mordialloc
,145.51604,-37.65713,Primary,Healesville Primary School,HEALESVILLE
,142.8379,-37.72024,Pri/Sec,Lake Bolac College,LAKE BOLAC
,146.62518,-38.05697,Primary,Toongabbie Primary School,TOONGABBIE
,143.63446,-37.35384,Primary,Waubra Primary School,WAUBRA
,142.85173,-37.14851,Primary,Great Western Primary School,GREAT WESTERN
,146.97677,-37.964,Primary,Maffra Primary School,MAFFRA
,145.88923,-36.42328,Primary,Broken Creek Primary School,Broken Creek
,144.01071,-37.67672,Primary,Lal Lal Primary School,LAL LAL
,143.07812,-38.32712,Primary,Cobden Primary School,COBDEN
,144.71475,-38.17184,Primary,St Leonards Primary School,ST LEONARDS
,145.35407,-37.75367,Primary,Lilydale Primary School,Lilydale
,144.26524,-36.75702,Primary,Bendigo Primary School,BENDIGO
,144.89357,-37.40103,Primary,Darraweit Guim Primary School,DARRAWEIT GUIM
,143.56131,-37.68407,Primary,Linton Primary School,LINTON
,143.87458,-37.52053,Primary,Invermay Primary School,INVERMAY
,147.37948,-36.53341,Primary,Mitta Mitta Primary School,MITTA MITTA
,145.05805,-37.83268,Primary,Camberwell Primary School,CAMBERWELL
,144.88618,-37.63983,Primary,Greenvale Primary School,GREENVALE
,145.7117,-37.19257,Primary,Alexandra Primary School,ALEXANDRA
,144.6619,-37.73215,Primary,Rockbank Primary School,MELTON
,144.16067,-38.042,Pri/Sec,Bannockburn P-12 College,BANNOCKBURN
,145.14554,-37.60601,Primary,Doreen Primary School,DOREEN
,143.7036,-37.16865,Primary,Talbot Primary School,TALBOT
,145.37241,-37.6497,Primary,Yarra Glen Primary School,Yarra Glen
,144.23409,-36.78768,Primary,Kangaroo Flat Primary School,KANGAROO FLAT
,144.8957,-37.67565,Primary,Westmeadows Primary School,Westmeadows
,144.72814,-37.59769,Primary,Sunbury Primary School,SUNBURY
,145.15165,-37.67185,Primary,Diamond Creek Primary School,DIAMOND CREEK
,144.61978,-37.34781,Primary,Hesket Primary School,Woodend
,144.50146,-36.78623,Primary,Axedale Primary School,AXEDALE
,145.1943,-37.83736,Primary,Vermont Primary School,VERMONT
,143.8284,-36.77126,Primary,Tarnagulla Primary School,TARNAGULLA
,145.08138,-37.81394,Primary,Balwyn Primary School,BALWYN
,145.2275,-37.89395,Primary,Scoresby Primary School,SCORESBY
,143.81266,-37.05206,Primary,Carisbrook Primary School,CARISBROOK
,145.43595,-37.79025,Primary,Wandin Yallock Primary School,WANDIN NORTH
,145.38222,-37.70535,Primary,Yering Primary School,Coldstream
,141.27673,-37.92302,Primary,Dartmoor Primary School,DARTMOOR
,144.87655,-37.5635,Primary,Mickleham Primary School,MICKLEHAM
,143.87045,-36.57394,Primary,Inglewood Primary School,INGLEWOOD
,144.26116,-37.08233,Primary,Chewton Primary School,CHEWTON
,144.7454,-37.43373,Primary,Bolinda Primary School,BOLINDA
,143.82646,-37.67863,Primary,Napoleons Primary School,NAPOLEONS
,145.03339,-37.80364,Primary,Kew Primary School,KEW
,143.72171,-37.58864,Primary,Haddon Primary School,HADDON
,142.73253,-38.32935,Primary,Panmure Primary School,PANMURE
,144.74069,-38.34148,Primary,Sorrento Primary School,SORRENTO
,143.8021,-37.5548,Primary,Alfredton Primary School,ALFREDTON
,143.94592,-36.6031,Primary,Bridgewater Primary School,BRIDGEWATER
,145.18947,-38.2997,Primary,Hastings Primary School,HASTINGS
,146.83646,-36.3121,Primary,Yackandandah Primary School,YACKANDANDAH
,145.15723,-36.78759,Primary,Nagambie Primary School,NAGAMBIE
,146.78494,-37.98211,Primary,Heyfield Primary School,HEYFIELD
,145.03959,-37.94202,Primary,Moorabbin Primary School,MOORABBIN
,146.08482,-37.05559,Primary,Mansfield Primary School,MANSFIELD
,146.72484,-36.15601,Primary,Middle Indigo Primary School,Indigo Valley
,147.06784,-37.8428,Primary,Briagolong Primary School,BRIAGOLONG
,147.45327,-37.80088,Primary,Lindenow Primary School,LINDENOW
,145.0463,-37.20257,Primary,Broadford Primary School,BROADFORD
,145.21429,-36.61718,Primary,Murchison Primary School,MURCHISON
,145.23956,-37.64161,Primary,Panton Hill Primary School,PANTON HILL
,143.9348,-37.52478,Primary,Glen Park Primary School,GLEN PARK
,142.82232,-37.04956,Primary,Concongella Primary School,CONCONGELLA
,147.83349,-37.70421,Primary,Bruthen Primary School,BRUTHEN
,143.54325,-35.34691,Primary,Swan Hill Primary School,SWAN HILL
,146.91102,-36.69949,Primary,Porepunkah Primary School,POREPUNKAH
,144.46437,-38.18726,Primary,Leopold Primary School,LEOPOLD
,144.05469,-38.10094,Primary,Inverleigh Primary School,INVERLEIGH
,145.06589,-37.86048,Primary,Glen Iris Primary School,GLEN IRIS
,143.46986,-37.43773,Primary,Trawalla Primary School,TRAWALLA
,144.27998,-36.77512,Primary,Quarry Hill Primary School,BENDIGO DC
,143.84472,-37.59643,Primary,Sebastopol Primary School,SEBASTOPOL
,146.87674,-38.52633,Primary,Woodside Primary School,WOODSIDE
,142.92873,-38.19075,Primary,Noorat Primary School,NOORAT
,144.95277,-37.84188,Primary,Albert Park Primary School,ALBERT PARK
,144.90041,-37.8638,Primary,Williamstown Primary School,WILLIAMSTOWN
,144.88711,-38.41198,Primary,Boneo Primary School,RYE
,144.65621,-38.26722,Primary,Queenscliff Primary School,QUEENSCLIFF
,141.57233,-38.31764,Primary,Portland North Primary School,PORTLAND NORTH
,143.71199,-36.98422,Primary,Timor Primary School,TIMOR
,141.08249,-36.97371,Primary,Apsley Primary School,APSLEY
,144.35291,-36.80436,Primary,Strathfieldsaye Primary School,STRATHFIELDSAYE
,145.20124,-38.11771,Primary,Skye Primary School,Carrum Downs
,144.79814,-37.03978,Primary,Tooborac Primary School,TOOBORAC
,147.63075,-37.81267,Primary,Lucknow Primary School,Bairnsdale
,145.05787,-37.42371,Primary,Upper Plenty Primary School,Wallan
,144.97303,-37.79106,Primary,Carlton North Primary School,CARLTON NORTH
,144.06581,-36.99504,Primary,Maldon Primary School,MALDON
,145.53269,-37.77737,Primary,Woori Yallock Primary School,WOORI YALLOCK
,142.76785,-37.30166,Primary,Moyston Primary School,Moyston
,143.88625,-37.65423,Primary,Buninyong Primary School,BUNINYONG
,145.74894,-37.51198,Primary,Marysville Primary School,MARYSVILLE
,144.48966,-37.17118,Primary,Langley Primary School,LANGLEY
,145.02786,-37.3603,Primary,Wandong Primary School,WANDONG
,145.24131,-38.45628,Primary,Cowes Primary School,COWES
,144.21822,-37.40538,Primary,Bullarto Primary School,BULLARTO
,143.3393,-37.9546,Primary,Lismore Primary School,LISMORE
,145.1155,-37.72617,Primary,Lower Plenty Primary School,LOWER PLENTY
,144.24834,-36.76187,Primary,Specimen Hill Primary School,GOLDEN SQUARE
,141.6138,-38.28161,Primary,Bolwarra Primary School,BOLWARRA
,143.11134,-36.90074,Primary,Navarre Primary School,NAVARRE
,142.39126,-36.25788,Primary,Warracknabeal Primary School,WARRACKNABEAL
,146.38309,-36.59317,Primary,Moyhu Primary School,MOYHU
,143.468,-36.94213,Primary,Natte Yallock Primary School,NATTE YALLOCK
,144.98925,-37.79231,Primary,Clifton Hill Primary School,CLIFTON HILL
,145.3042,-37.65352,Primary,Christmas Hills Primary School,CHRISTMAS HILLS
,147.1742,-36.2148,Primary,Tallangatta Primary School,TALLANGATTA
,145.43115,-36.4527,Primary,Kialla Central Primary School,KIALLA
,145.09219,-38.19539,Primary,Mount Eliza Primary School,MOUNT ELIZA
,145.36945,-38.52385,Primary,San Remo Primary School,San Remo
,142.0304,-36.45336,Primary,Dimboola Primary School,DIMBOOLA
,146.58665,-36.50544,Primary,Whorouly Primary School,WHOROULY
,146.25688,-37.1028,Primary,Merrijig Primary School,Merrijig
,144.13456,-37.96906,Primary,Lethbridge Primary School,LETHBRIDGE
,146.36064,-36.44156,Primary,Oxley Primary School,Oxley
,144.99688,-37.77176,Primary,Northcote Primary School,NORTHCOTE
,144.95064,-37.79873,Primary,North Melbourne Primary School,NORTH MELBOURNE
,145.21982,-37.98792,Primary,Dandenong Primary School,DANDENONG
,144.38694,-37.18732,Primary,Malmsbury Primary School,MALMSBURY
,144.89176,-37.8559,Primary,Williamstown North Primary School,WILLIAMSTOWN
,143.92114,-35.73169,Primary,Kerang Primary School,KERANG
,145.87172,-38.08711,Primary,Drouin West Primary School,DROUIN
,144.07781,-37.84271,Primary,Meredith Primary School,MEREDITH
,146.44881,-36.70647,Primary,Edi Upper Primary School,EDI UPPER
,144.23727,-36.70707,Primary,Eaglehawk North Primary School,EAGLEHAWK
,145.36029,-36.39136,Primary,Mooroopna Primary School,MOOROOPNA
,144.788,-37.75885,Primary,Cairnlea Park Primary School,CAIRNLEA
,144.2311,-37.60168,Primary,Ballan Primary School,BALLAN
,143.85781,-37.57836,Primary,Mount Pleasant Primary School,BALLARAT
,145.22992,-36.44497,Primary,Tatura Primary School,TATURA
,145.34418,-36.49052,Primary,Toolamba Primary School,TOOLAMBA
,145.14175,-36.46986,Primary,Harston Primary School,TATURA
,146.89257,-36.31716,Primary,Osbornes Flat Primary School,OSBORNES FLAT
,145.12403,-38.14756,Primary,Frankston Primary School,FRANKSTON EAST LPO
,142.98463,-36.36721,Primary,Donald Primary School,DONALD
,144.97776,-37.47206,Primary,Beveridge Primary School,BEVERIDGE
,144.98902,-37.87022,Primary,St Kilda Primary School,ST KILDA
,143.60821,-37.79196,Primary,Cape Clear Primary School,Cape Clear
,145.7017,-37.7558,Primary,Warburton Primary School,WARBURTON
,145.10067,-37.09676,Primary,Tallarook Primary School,TALLAROOK
,146.67589,-36.10131,Primary,Barnawartha Primary School,BARNAWARTHA
,144.98415,-37.78502,Primary,Fitzroy North Primary School,FITZROY NORTH
,144.3471,-38.13856,Primary,Ashby Primary School,GEELONG WEST
,145.01031,-37.73055,Primary,Preston Primary School,PRESTON
,145.37849,-38.20763,Primary,Tooradin Primary School,TOORADIN
,145.03397,-37.82405,Primary,Glenferrie Primary School,HAWTHORN
,144.60891,-36.4972,Primary,Elmore Primary School,ELMORE
,145.68279,-36.33107,Primary,Dookie Primary School,DOOKIE
,145.00108,-37.91221,Primary,Brighton Primary School,BRIGHTON
,141.9505,-36.74124,Primary,Natimuk Primary School,NATIMUK
,142.47574,-36.6235,Pri/Sec,Murtoa College,MURTOA
,144.24247,-36.83058,Primary,Big Hill Primary School,Big Hill
,143.79211,-37.29075,Primary,Clunes Primary School,CLUNES
,142.87035,-36.67685,Primary,Marnoo Primary School,MARNOO
,146.69357,-36.35543,Primary,Beechworth Primary School,BEECHWORTH
,145.31307,-36.38546,Primary,Ardmona Primary School,ARDMONA
,144.94752,-37.29577,Primary,Kilmore Primary School,KILMORE
,142.00147,-38.03088,Primary,Macarthur Primary School,MACARTHUR
,144.48704,-38.28119,Primary,Barwon Heads Primary School,BARWON HEADS
,144.8357,-37.7169,Primary,Keilor Primary School,KEILOR
,143.73358,-36.85155,Primary,Dunolly Primary School,DUNOLLY
,146.4681,-36.18467,Primary,Springhurst Primary School,SPRINGHURST
,144.3281,-37.38797,Primary,Trentham District Primary School,TRENTHAM
,143.92743,-37.5741,Primary,Warrenheip Primary School,WARRENHEIP
,144.2097,-36.74419,Primary,Maiden Gully Primary School,MAIDEN GULLY
,142.62861,-36.63222,Primary,Rupanyup Primary School,RUPANYUP
,144.50468,-36.617,Primary,Goornong Primary School,GOORNONG
,145.08862,-37.89447,Primary,Oakleigh Primary School,OAKLEIGH
,144.26673,-38.17355,Primary,Ceres Primary School,CERES
,145.0344,-37.85601,Primary,Malvern Central School,MALVERN
,144.14156,-37.3451,Primary,Daylesford Primary School,DAYLESFORD
,145.29849,-36.32914,Primary,Mooroopna North Primary School,MOOROOPNA
,147.86479,-37.82108,Primary,Swan Reach Primary School,SWAN REACH
,143.39924,-37.18413,Primary,Amphitheatre Primary School,AMPHITHEATRE
,143.88575,-38.39988,Primary,Deans Marsh Primary School,DEANS MARSH
,144.57175,-38.16916,Primary,Drysdale Primary School,DRYSDALE
,143.25754,-36.6102,Primary,St Arnaud Primary School,St Arnaud
,142.73443,-38.46676,Primary,Nullawarre and District Primary School,NULLAWARRE
,144.56268,-37.41869,Primary,Macedon Primary School,MACEDON
,145.2025,-37.579,Primary,Arthurs Creek Primary School,ARTHURS CREEK
,144.82382,-38.37312,Primary,Rye Primary School,RYE
,145.70905,-37.4214,Primary,Buxton Primary School,Buxton
,143.32074,-36.98986,Primary,Moonambel Primary School,MOONAMBEL
,147.08841,-38.16956,Primary,Longford Primary School,Longford
,145.34517,-38.00085,Primary,Harkaway Primary School,HARKAWAY
,145.12282,-38.37672,Primary,Balnarring Primary School,BALNARRING
,146.46086,-36.3289,Primary,Carraragarmungee Primary School,Londrigan via Wangaratta
,145.57208,-36.75596,Primary,Euroa Primary School,EUROA
,144.11368,-36.04736,Pri/Sec,Pyramid Hill College,PYRAMID HILL
,145.47925,-36.39993,Primary,Shepparton East Primary School,SHEPPARTON EAST
,147.74791,-37.81578,Primary,Nicholson Primary School,NICHOLSON
,145.38946,-36.46601,Primary,Kialla West Primary School,KIALLA WEST
,143.7947,-37.47788,Primary,Miners Rest Primary School,MINERS REST
,146.22234,-36.46019,Primary,Glenrowan Primary School,GLENROWAN
,142.48257,-38.37728,Primary,Warrnambool Primary School,WARRNAMBOOL
,145.89434,-36.32654,Primary,Devenish Primary School,DEVENISH
,145.21893,-36.27636,Primary,Undera Primary School,UNDERA
,147.01531,-36.46925,Primary,Dederang Primary School,DEDERANG
,144.38773,-36.84177,Primary,Eppalock Primary School,"AXE CREEK, via Strathfieldsaye"
,145.42132,-37.8246,Primary,Silvan Primary School,SILVAN
,143.82816,-37.53928,Primary,Wendouree Primary School,Wendouree
,145.13282,-36.31325,Primary,Lancaster Primary School,LANCASTER
,144.2048,-36.53947,Primary,Raywood Primary School,RAYWOOD
,145.03351,-37.00263,Primary,Puckapunyal Primary School,PUCKAPUNYAL
,143.13591,-37.00586,Primary,Landsborough Primary School,LANDSBOROUGH
